	ImageNumber	ObjectNumber	Intensity_MeanIntensity_Ch01	Intensity_MeanIntensity_Ch02	FileName_DAPI	Sample_Name
165	2	34	0.170404415	0.146200984	Neg_2a	Neg
166	2	35	0.152139577	0.195944836	Neg_2a	Neg
167	2	36	0.118854767	0.128259591	Neg_2a	Neg
168	2	37	0.145882357	0.135230529	Neg_2a	Neg
169	2	38	0.177750263	0.105985555	Neg_2a	Neg
170	2	39	0.204378196	0.157937151	Neg_2a	Neg
171	2	40	0.101312817	0.147885664	Neg_2a	Neg
172	2	41	0.140963168	0.14917549	Neg_2a	Neg
173	2	42	0.169899314	0.094764178	Neg_2a	Neg
174	2	43	0.178064219	0.111194442	Neg_2a	Neg
175	2	44	0.140950985	0.122901965	Neg_2a	Neg
176	2	45	0.159426851	0.11197587	Neg_2a	Neg
177	2	46	0.123854209	0.102273549	Neg_2a	Neg
178	2	47	0.106821429	0.144850129	Neg_2a	Neg
179	2	48	0.147762893	0.139071849	Neg_2a	Neg
180	2	49	0.134655553	0.142866806	Neg_2a	Neg
181	2	50	0.083625007	0.091709008	Neg_2a	Neg
182	2	51	0.131857362	0.132320625	Neg_2a	Neg
183	2	52	0.082690017	0.068204056	Neg_2a	Neg
184	2	53	0.142422346	0.118366156	Neg_2a	Neg
185	2	54	0.089349169	0.180649917	Neg_2a	Neg
186	2	55	0.175382971	0.174693632	Neg_2a	Neg
187	2	56	0.127060455	0.134431703	Neg_2a	Neg
188	2	57	0.119756642	0.184135176	Neg_2a	Neg
189	2	58	0.16187735	0.250705056	Neg_2a	Neg
190	2	59	0.165002284	0.190431681	Neg_2a	Neg
191	2	60	0.125893739	0.117636715	Neg_2a	Neg
192	2	61	0.185356079	0.206378022	Neg_2a	Neg
193	2	62	0.122294008	0.131315884	Neg_2a	Neg
194	2	63	0.167782809	0.163076927	Neg_2a	Neg
195	2	64	0.149840795	0.167370541	Neg_2a	Neg
196	2	65	0.123427745	0.119941906	Neg_2a	Neg
197	2	66	0.12930556	0.169011441	Neg_2a	Neg
198	2	67	0.17621162	0.180399559	Neg_2a	Neg
199	2	68	0.146491354	0.180023071	Neg_2a	Neg
200	2	69	0.12611217	0.126734139	Neg_2a	Neg
201	2	70	0.177413166	0.152475712	Neg_2a	Neg
202	2	71	0.150496915	0.170776259	Neg_2a	Neg
203	2	72	0.128006916	0.122447604	Neg_2a	Neg
204	2	73	0.156781984	0.220944952	Neg_2a	Neg
205	2	74	0.165980148	0.151637284	Neg_2a	Neg
206	2	75	0.169973665	0.18996196	Neg_2a	Neg
207	2	76	0.199065062	0.159278021	Neg_2a	Neg
208	2	77	0.150349388	0.121941308	Neg_2a	Neg
209	2	78	0.10729979	0.10327585	Neg_2a	Neg
210	2	79	0.110588238	0.119653254	Neg_2a	Neg
211	2	80	0.338849497	0.267973866	Neg_2a	Neg
212	2	81	0.149647742	0.110364147	Neg_2a	Neg
213	2	82	0.10493951	0.188635798	Neg_2a	Neg
214	2	83	0.188085293	0.205921645	Neg_2a	Neg
215	2	84	0.088844522	0.346490562	Neg_2a	Neg
216	2	85	0.046835161	0.063878329	Neg_2a	Neg
217	2	86	0.178120521	0.197680541	Neg_2a	Neg
218	2	87	0.166733446	0.138663272	Neg_2a	Neg
219	2	88	0.161399872	0.172680433	Neg_2a	Neg
220	2	89	0.146859907	0.160625181	Neg_2a	Neg
221	2	90	0.146568631	0.136791943	Neg_2a	Neg
222	2	91	0.171384436	0.177647062	Neg_2a	Neg
223	2	92	0.140933276	0.129462435	Neg_2a	Neg
224	2	93	0.096048268	0.078310712	Neg_2a	Neg
225	2	94	0.182438771	0.170528821	Neg_2a	Neg
226	2	95	0.185831756	0.219474691	Neg_2a	Neg
227	2	96	0.188922345	0.163856727	Neg_2a	Neg
228	2	97	0.182045835	0.179604698	Neg_2a	Neg
229	2	98	0.102292188	0.124634082	Neg_2a	Neg
230	2	99	0.225122138	0.200053542	Neg_2a	Neg
231	2	100	0.13253573	0.130984828	Neg_2a	Neg
232	2	101	0.152452591	0.146100936	Neg_2a	Neg
233	2	102	0.127058828	0.123794387	Neg_2a	Neg
234	2	103	0.159667313	0.195933788	Neg_2a	Neg
235	2	104	0.12480321	0.12636325	Neg_2a	Neg
236	2	105	0.073067892	0.128308486	Neg_2a	Neg
237	2	106	0.13104682	0.134393566	Neg_2a	Neg
238	2	107	0.091077853	0.076633023	Neg_2a	Neg
239	2	108	0.113807478	0.098196353	Neg_2a	Neg
240	2	109	0.086487641	0.091219098	Neg_2a	Neg
241	2	110	0.13126802	0.132883529	Neg_2a	Neg
242	2	111	0.166755293	0.191303871	Neg_2a	Neg
243	2	112	0.138402511	0.122716236	Neg_2a	Neg
244	2	113	0.167581703	0.140302889	Neg_2a	Neg
245	2	114	0.1527307	0.160418748	Neg_2a	Neg
246	2	115	0.201142863	0.32234548	Neg_2a	Neg
247	2	116	0.083514889	0.079680467	Neg_2a	Neg
248	2	117	0.093895149	0.07897372	Neg_2a	Neg
249	2	118	0.085515163	0.075758051	Neg_2a	Neg
250	2	119	0.10631108	0.085152263	Neg_2a	Neg
251	2	120	0.213114551	0.201704895	Neg_2a	Neg
252	2	121	0.160952822	0.146905642	Neg_2a	Neg
253	2	122	0.143057375	0.162687005	Neg_2a	Neg
254	2	123	0.129976128	0.212871723	Neg_2a	Neg
255	2	124	0.09550562	0.172431523	Neg_2a	Neg
256	2	125	0.094991782	0.094374275	Neg_2a	Neg
257	3	1	0.146674	0.132215506	Neg_3a	Neg
258	3	2	0.165869706	0.146185962	Neg_3a	Neg
259	3	3	0.122368632	0.164439219	Neg_3a	Neg
260	3	4	0.115220592	0.165269612	Neg_3a	Neg
261	3	5	0.11499854	0.071290609	Neg_3a	Neg
262	3	6	0.182124582	0.184912203	Neg_3a	Neg
263	3	7	0.132681754	0.079336352	Neg_3a	Neg
264	3	8	0.112890782	0.099409405	Neg_3a	Neg
265	3	9	0.166951059	0.204385577	Neg_3a	Neg
266	3	10	0.153490699	0.160047462	Neg_3a	Neg
267	3	11	0.110231983	0.07007733	Neg_3a	Neg
268	3	12	0.178384469	0.279810495	Neg_3a	Neg
269	3	13	0.114052291	0.093954251	Neg_3a	Neg
270	3	14	0.119136079	0.101459533	Neg_3a	Neg
271	3	15	0.138251692	0.205679067	Neg_3a	Neg
272	3	16	0.131317233	0.08252505	Neg_3a	Neg
273	3	17	0.156671093	0.157364002	Neg_3a	Neg
274	3	18	0.155161057	0.249067596	Neg_3a	Neg
